Season,Cultivar,Repetition,PH,IFP,NLP,NGP,NGL,NS,MHG,GY
2,LAT 1330BT,3,66.60,12.60,34.40,78.40,2.28,1.60,211.24,3086.356322
2,LAT 1330BT,4,68.87,14.87,45.00,103.20,2.31,2.00,208.97,3069.310345
2,FTR 4280 IPRO,1,67.00,12.20,55.20,89.60,1.62,5.40,179.42,3053.977011
2,FTR 4280 IPRO,2,67.40,13.80,70.00,160.40,2.29,3.80,180.25,3223
2,FTR 4280 IPRO,3,64.40,13.40,47.20,82.60,1.75,3.40,186.33,3113.87931
2,FTR 4280 IPRO,4,66.27,13.13,57.47,110.87,1.89,4.20,177.21,3356.793103
2,ATAQUE I2X,1,80.80,21.00,81.40,173.80,2.14,5.60,152.05,3539.672414
2,ATAQUE I2X,2,63.40,21.20,51.60,103.00,2.00,3.60,155.08,3618.287356
2,ATAQUE I2X,3,69.60,19.60,77.00,205.60,2.67,5.40,161.59,3746.356322
2,ATAQUE I2X,4,71.27,20.60,70.00,160.80,2.27,4.87,166.22,3691.494253
2,SYN2282IPRO,1,63.00,16.20,79.40,182.40,2.30,4.00,205.57,3484.913793
2,SYN2282IPRO,2,66.60,18.60,60.00,121.40,2.02,3.80,194.94,3720.482759
2,SYN2282IPRO,3,64.20,18.40,70.40,125.20,1.78,3.60,204.17,3560.344828
2,SYN2282IPRO,4,64.60,17.73,69.93,143.00,2.03,3.80,204.89,3443.086207
2,82I78RSF IPRO,1,86.80,19.00,106.40,191.60,1.80,3.60,171.60,3308.798851
2,82I78RSF IPRO,2,87.20,19.40,92.80,201.00,2.17,5.00,172.59,3274.988506
2,82I78RSF IPRO,3,87.80,24.20,79.60,146.00,1.83,4.80,169.62,3267.310345
2,82I78RSF IPRO,4,87.27,20.87,92.93,179.53,1.93,4.47,162.59,3534.057471
2,M 8644 IPRO,1,63.60,12.20,32.00,80.80,2.53,3.20,159.15,3094.022989
2,M 8644 IPRO,2,60.80,11.00,43.20,104.20,2.41,3.00,164.86,3177.931034
2,M 8644 IPRO,3,61.40,9.20,34.00,85.40,2.51,2.80,163.72,3207.54023
2,M 8644 IPRO,4,61.93,10.80,36.40,90.13,2.48,3.00,157.93,3304.333333
2,MONSOY M8606I2X,1,78.20,8.00,81.40,249.80,3.07,4.80,150.53,3748.655172
2,MONSOY M8606I2X,2,63.00,7.20,109.40,440.00,4.02,4.40,150.82,3859.655172
2,MONSOY M8606I2X,3,67.20,8.60,102.00,209.00,2.05,4.00,153.97,3686.965517
2,MONSOY M8606I2X,4,69.47,7.93,97.60,299.60,3.05,4.40,154.10,3939.310345
2,NK 8770 IPRO,1,89.80,15.60,97.60,208.00,2.13,3.20,173.64,3221.810345
2,NK 8770 IPRO,2,87.60,15.00,55.00,104.00,1.89,2.20,175.92,3246.896552
2,NK 8770 IPRO,3,91.40,18.20,60.20,141.40,2.35,3.60,166.68,3150.862069
2,NK 8770 IPRO,4,89.60,16.27,70.93,151.13,2.12,3.00,160.81,3037.189655
2,FTR 4288 IPRO,1,82.60,16.00,84.00,147.20,1.75,3.60,146.98,3475.448276
2,FTR 4288 IPRO,2,87.60,15.80,79.20,151.80,1.92,3.80,139.22,3409.103448
2,FTR 4288 IPRO,3,94.80,17.20,64.00,118.00,1.84,3.60,135.65,3304.678161
2,FTR 4288 IPRO,4,88.33,16.33,75.73,139.00,1.84,3.67,135.19,3348.931034
2,FTR 3190 IPRO,1,64.40,16.60,76.00,168.00,2.21,3.60,145.69,3418.850575
2,FTR 3190 IPRO,2,64.60,17.60,116.80,271.20,2.32,3.80,147.24,3651.586207
2,FTR 3190 IPRO,3,58.80,14.80,86.40,180.60,2.09,2.20,156.32,3487.931034
2,FTR 3190 IPRO,4,62.60,16.33,93.07,206.60,2.21,3.20,157.61,3605.310345
